step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,flagged,anomaly_score,verdict,reason
5222,TRANSFER,62397.92,67146.25,4748.33,42202.35,104600.27,1,1,-0.0894944838297587,BLOCK,"The sender is transferring almost their entire account balance in a single transaction, which is a typical red flag for fraud, and the statistical model flags it as highly unusual."
7514,CASH_OUT,73039.52,83208.32,10168.8,30337.08,103376.6,1,1,-0.0858981646642667,BLOCK,"The sender is moving almost all of their money in a single cash‑out, leaving a tiny balance, and the receiver’s balance spikes dramatically, which is a classic sign of a fraudulent drain."
5345,CASH_OUT,60081.67,62104.96,2023.29,40820.65,100902.32,1,1,-0.0849388645919264,BLOCK,"The sender is moving almost their entire balance out in a single cash‑out, which is a classic sign of fraudulent activity, and the receiver’s balance spikes dramatically at the same time."
2788,TRANSFER,79892.07,81964.51,2072.44,9419.74,89311.81,1,1,-0.0843768237664261,BLOCK,"The transfer empties almost the entire account, leaving only a tiny balance, which is a classic sign of a fraudulent drain. The statistical model also flags it as highly unusual."
5235,CASH_OUT,63537.79,67089.84,3552.05,37788.37,101326.16,1,1,-0.0805829799699885,BLOCK,"The sender moved almost their entire balance in one cash‑out, leaving only a tiny amount, which is a classic sign of fraudulent activity."
6335,CASH_OUT,75147.35,75811.91,664.56,6583.63,81730.98,1,1,-0.0796430153097303,BLOCK,"The sender is moving almost their entire account balance to another account in a single cash‑out, which is a classic sign of fraudulent activity. The transaction is also flagged as highly unusual by the model."
6950,TRANSFER,75913.29,79788.71,3875.42,21916.99,97830.28,1,1,-0.0756926388205123,BLOCK,"The sender transferred almost all of their money in a single transaction, which is atypical and highly risky. This behavior, combined with the unusually low anomaly score, strongly suggests potential fraud."
3381,TRANSFER,77775.57,88501.87,10726.3,14378.59,92154.16,1,1,-0.0740903949624225,REVIEW,"The transfer moves almost 88% of the sender’s balance to another account, which is unusually large and the model flags it as atypical, so it needs closer inspection."
4566,TRANSFER,74150.61,78507.24,4356.63,23703.16,97853.77,1,1,-0.0736847955151638,BLOCK,"The sender moved almost their entire account balance in a single transfer, which is a classic sign of account takeover or fraud, and the statistical model flags it as highly unusual."
2385,TRANSFER,77881.34,85627.19,7745.85,8705.46,86586.8,1,1,-0.0688322099084082,BLOCK,"The transfer moves 91% of the sender’s available funds, leaving only a tiny balance, which is a strong sign of a fraudulent drain and is flagged as highly unusual by the model."
7276,TRANSFER,58589.81,61613.77,3023.96,39593.82,98183.63,1,1,-0.0645629961266898,BLOCK,"The transfer drains almost the entire balance (95%) from the sender’s account, leaving only a tiny amount, which is a classic sign of fraudulent activity and is flagged as highly unusual by the model."
520,CASH_OUT,75181.9,84849.92,9668.02,15594.95,90776.85,1,1,-0.0569726432366212,BLOCK,"The transaction moves almost 90% of the sender’s funds in a single cash‑out, which is highly atypical and suggests a potential fraud attempt."
5000,CASH_OUT,61368.19,62813.22,1445.03,6595.2,67963.39,1,1,-0.0558422690855163,BLOCK,"The sender is withdrawing almost their entire account balance in one transaction, which is a classic sign of a fraud attempt. The amount and the very low anomaly score make this behavior highly suspicious."
2831,CASH_OUT,59296.24,59545.9,249.66,18073.92,77370.16,1,1,-0.0479717818726579,BLOCK,"The transaction drains virtually the entire balance from the sender’s account, which is a classic sign of fraudulent activity."
1029,CASH_OUT,58051.3,66667.76,8616.46,36908.41,94959.71,1,1,-0.0465627392410009,BLOCK,"The sender is moving almost all of their money in a single cash‑out, which is highly unusual and suggests a fraudulent drain of funds."
3948,TRANSFER,68037.55,77576.77,9539.22,25519.78,93557.33,1,1,-0.0465104333394661,REVIEW,"The transfer moves almost 88% of the sender’s balance in a single transaction, leaving a very low remaining balance, which is atypical and flagged as highly unusual by the model. This warrants a closer look to confirm whether it’s a legitimate large payment or a potential fraud attempt."
1081,TRANSFER,66028.86,70408.66,4379.8,12820.65,78849.51,1,1,-0.0457347348311912,BLOCK,"The sender transferred almost all of their money in a single transaction, which is an unusual pattern and a strong indicator of fraud."
6090,PAYMENT,732.78,95706.29,94973.51,2954.78,3687.56,0,1,-0.0402850841567514,ALLOW,"The payment is a small fraction of the sender’s balance and shows a normal increase for the receiver, with no strong indication of fraud."
3083,CASH_OUT,64763.22,68937.09,4173.87,17208.59,81971.81,1,1,-0.0386698004013893,BLOCK,"The sender moved almost all of their money in a single cash‑out, which is a classic sign of a fraudulent drain."
173,TRANSFER,51698.53,52002.19,303.66,7433.14,59131.67,1,1,-0.028800193761031,BLOCK,"The sender transferred almost their entire account balance in one transaction, leaving only a few dollars, which is a classic sign of fraudulent activity."
5967,CASH_IN,45521.87,97331.76,51809.89,468.64,45990.51,0,1,-0.0279302988209774,REVIEW,"A very large sum (nearly half of the sender’s balance) was moved into an almost empty account, which is unusual and flagged by the model as atypical. This warrants a closer human investigation."
257,CASH_OUT,55900.1,61123.34,5223.24,10026.24,65926.34,1,1,-0.0276629885690121,BLOCK,"The sender is sending almost their entire balance in a single cash‑out, which is a classic sign of a fraudulent or mule transaction. The unusually large move and the low anomaly score make it too risky to allow."
7664,TRANSFER,42956.71,44515.78,1559.07,43865.06,86821.77,1,1,-0.0264982918825039,BLOCK,"The sender transferred almost all of their funds (96.5%) in a single transaction, which is highly unusual and indicates a likely fraudulent drain of the account."
7652,CASH_OUT,53156.3,60298.09,7141.79,36122.48,89278.78,1,1,-0.0254397317305299,BLOCK,"Almost the entire balance (88%) was moved in a single large cash‑out, leaving the sender with a very low balance and the receiver’s balance jumping dramatically, which is highly atypical and flagged as unusual by the model."
3949,CASH_IN,46449.97,98168.87,51718.9,48648.4,95098.37,0,1,-0.0253142755197059,REVIEW,"The transaction moves nearly half of the sender’s balance in a single cash‑in, which is unusual and the model flags it as atypical."
7842,CASH_OUT,62209.42,71030.66,8821.24,23609.6,85819.02,1,1,-0.0250973527286406,REVIEW,"The transaction moves almost 88% of the sender’s balance and the model flags it as unusually low, indicating potential fraud, but it isn’t an absolute drain of funds, so a human should verify the intent."
6651,DEBIT,2410.86,97345.07,94934.21,4146.98,6557.84,0,1,-0.0230543728678369,ALLOW,"The transfer is only a small fraction of the sender’s total funds and the anomaly score is only slightly unusual, indicating it looks like a regular payment."
7028,PAYMENT,2323.35,99495.22,97171.87,6379.04,8702.39,0,1,-0.0227544745529255,ALLOW,"The payment is only a small fraction (about 2%) of the sender’s balance and the amounts look typical for a regular transfer, so there’s no clear sign of fraud."
6874,TRANSFER,17446.1,18653.42,1207.32,49509.6,66955.7,1,1,-0.0216597830325463,BLOCK,"The sender moved almost their entire balance in one transfer, which is an extreme and atypical behavior indicating likely fraud."
5334,TRANSFER,42917.7,42963.6,45.9,38031.23,80948.93,1,1,-0.0205931408569668,BLOCK,"The sender transferred almost their entire balance (99.9%) leaving only a few cents, which is a classic sign of a fraudulent drain. This extreme behavior is highly suspicious."
5042,TRANSFER,56106.41,61145.85,5039.44,23833.72,79940.13,1,1,-0.0196504954703298,BLOCK,"The sender transferred almost their entire account balance in a single transaction, which is a classic sign of a fraudulent drain. The transaction is also flagged as unusually abnormal by the model."
6078,CASH_OUT,45822.52,94980.63,49158.11,1387.11,47209.63,0,1,-0.0189472607553707,REVIEW,"The transaction moves almost half of the sender’s funds to a receiver whose balance spikes dramatically, and the model flags it as unusually atypical. This warrants a closer human investigation."
2734,PAYMENT,44681.09,93581.04,48899.95,47945.23,92626.32,0,1,-0.0162085759065166,REVIEW,"The payment moves almost half of the sender’s available funds and more than doubles the receiver’s balance, which is unusual for a normal transaction and the model’s anomaly score is slightly negative, indicating an atypical pattern."
4718,TRANSFER,44339.65,52155.16,7815.51,43460.0,87799.65,1,1,-0.0158722346823202,REVIEW,"The transfer moves 85% of the sender’s funds in a single transaction, leaving a very low balance, which is unusual and potentially risky."
113,CASH_OUT,51182.25,52510.46,1328.21,15388.86,66571.11,1,1,-0.0157033911631069,BLOCK,"The sender is moving almost their entire account balance in a single cash‑out, leaving only a tiny remainder, which is a classic sign of account drainage fraud. The receiver’s balance also spikes dramatically, and the statistical model flags the transaction as highly unusual."
2146,CASH_OUT,41568.18,95808.68,54240.5,107.05,41675.23,0,1,-0.0156710380857617,REVIEW,"A very large cash‑out moves nearly half of the sender’s funds to an account that previously held almost nothing, and the model flags it as unusually abnormal. This pattern is suspicious but not definitively fraudulent, so a closer human look is needed."
7619,CASH_OUT,49795.1,51550.97,1755.87,28472.57,78267.67,1,1,-0.015153612008545,BLOCK,"The sender is moving almost their entire account balance in a single cash‑out, which is a classic sign of a fraudulent drain, and the transaction is flagged as highly unusual by the model."
1973,TRANSFER,46931.37,98898.7,51967.33,3913.72,50845.09,0,1,-0.0142618592690024,REVIEW,"The transfer moves almost half of the sender’s balance and the model flags it as unusually low, suggesting it could be suspicious but not definitively fraudulent."
2980,CASH_OUT,47530.07,52794.62,5264.55,4773.13,52303.2,1,1,-0.0133642207338336,BLOCK,"The sender is moving almost their entire balance (90%) in one cash‑out, leaving very little left, which is a typical pattern of fraudulent activity."
1103,PAYMENT,291.46,91049.94,90758.48,40534.18,40825.64,0,1,-0.0095075358748781,ALLOW,"The payment is a tiny fraction of the sender’s large balance and the model’s anomaly score is near neutral, indicating nothing unusual about this transaction."
2530,TRANSFER,48752.04,99168.18,50416.14,31751.23,80503.27,0,1,-0.0093496214046373,REVIEW,"The transfer moves almost half of the sender’s account balance in a single transaction, which is unusually large, though it doesn’t empty the account entirely. This pattern is atypical and warrants a closer look."
6969,CASH_OUT,1223.03,93551.52,92328.49,10871.37,12094.4,0,1,-0.0091552111396046,ALLOW,"The transfer moves only a small fraction (about 1.3%) of the sender’s balance and follows a normal pattern for a cash‑out, so it looks like ordinary activity despite a mildly unusual anomaly score."
4168,DEBIT,44768.81,94462.6,49693.79,3504.91,48273.72,0,1,-0.0085544998777624,BLOCK,"The transaction moves almost half of the sender’s funds to a recipient who previously had a very low balance, which is an unusual pattern and highly indicative of potential fraud."
6391,CASH_OUT,206.56,95597.53,95390.97,38804.8,39011.36,0,1,-0.0085247832767998,ALLOW,"The transfer is a very small fraction of the sender’s balance and shows no obvious signs of fraud, so it appears to be normal activity."
6184,CASH_IN,1371.05,78635.48,77264.43,1521.83,2892.88,0,1,-0.0083635491544228,ALLOW,"The transfer is a small percentage of the sender’s balance and the receiver’s account change matches the amount, showing no clear signs of fraud."
5827,TRANSFER,47073.25,53795.05,6721.8,36423.83,83497.08,1,1,-0.0080015569216975,BLOCK,"The sender transferred almost all of their funds (87.5% of the balance) in a single transaction, which is highly unusual and matches a very low anomaly score, indicating likely fraud."
6514,PAYMENT,7845.37,94652.58,86807.21,1283.52,9128.89,0,1,-0.0068662169594628,ALLOW,"The payment is only about 8 % of the sender’s balance and the anomaly score is only mildly unusual, so it looks like a normal transaction."
6770,CASH_OUT,45923.8,48970.04,3046.24,38597.97,84521.77,1,1,-0.0067300124484079,BLOCK,"The sender is moving almost all of their funds in a single cash‑out, which is a classic sign of a fraudulent balance drain."
2053,TRANSFER,37120.49,37638.84,518.35,4847.61,41968.1,1,1,-0.0063860232909166,BLOCK,"The sender transferred almost their entire account balance in a single transaction, leaving only a small amount, which is a classic sign of a fraudulent drain."
2455,CASH_OUT,44858.03,97019.24,52161.21,46763.51,91621.54,0,1,-0.0057673830593066,REVIEW,"The transfer moves nearly half of the sender’s funds in a single cash‑out, which is unusually large and flagged as anomalous by the model, so it should be examined further."
6557,CASH_OUT,379.97,71372.15,70992.18,1711.42,2091.39,0,1,-0.0054376187887718,ALLOW,"The transfer is only 0.5% of the sender’s balance and matches a typical cash‑out pattern, and the anomaly score is not extreme."
5363,CASH_OUT,46137.11,94534.54,48397.43,44705.56,90842.67,0,1,-0.0047352807645321,REVIEW,"The transaction moves almost half of the sender’s balance in a single cash‑out, which is unusually large and the model flags it as statistically unusual. It warrants closer manual inspection."
6105,CASH_IN,267.62,89425.33,89157.71,37095.17,37362.79,0,1,-0.0046591123460018,ALLOW,"The transfer is a very small fraction of the sender’s balance and looks like a normal cash‑in activity, with no clear signs of fraud."
327,CASH_OUT,6372.86,99134.34,92761.48,5205.48,11578.34,0,1,-0.0045302821528369,ALLOW,"The transfer is only a small portion of the sender’s balance and there’s no obvious pattern of misuse, so it appears to be a normal transaction."
3216,CASH_OUT,42052.35,98457.19,56404.84,46511.27,88563.62,0,1,-0.0042586356752682,REVIEW,"The transaction moves a very large portion of the sender’s balance in a single cash‑out, which is atypical and could indicate risk, but there’s not enough clear evidence of fraud to block it outright."
6821,PAYMENT,2485.79,92592.74,90106.95,8543.45,11029.24,0,1,-0.0041331730523026,ALLOW,"The payment is only a small fraction of the sender’s balance and the anomaly score is close to zero, indicating no strong sign of fraud."
7559,PAYMENT,1095.73,82382.37,81286.64,2979.34,4075.07,0,1,-0.0039340739534814,ALLOW,"The payment is a small portion of the sender’s balance and does not show any clear signs of fraud or unusual behavior. The anomaly score is close to zero, indicating nothing dramatically out of the ordinary."
5180,CASH_OUT,1841.2,95892.32,94051.12,46343.61,48184.81,0,1,-0.0036540402823849,ALLOW,"The transfer is only 1.9% of the sender’s balance and the amounts and pattern look typical for a cash‑out, so there’s no clear sign of fraud."
5847,TRANSFER,43481.44,49532.77,6051.33,39200.95,82682.39,1,1,-0.0032704467831029,BLOCK,"The sender moved almost 88% of their entire balance in a single transfer, which is highly atypical and suggests a potential fraud attempt."
190,TRANSFER,49726.72,54621.79,4895.07,10901.16,60627.88,1,1,-0.0032635709364136,BLOCK,"The sender is moving 91% of their available funds in a single transfer, leaving only a tiny balance, which is a strong indicator of a fraudulent attempt to drain the account."
2688,CASH_OUT,42902.61,97129.51,54226.9,47277.67,90180.28,0,1,-0.0027964558359657,REVIEW,"The transaction moves a large portion (44%) of the sender’s funds and has a slightly unusual statistical score, but it doesn’t drain the account entirely, so it’s suspicious and needs a human check."
1047,DEBIT,1756.84,85369.03,83612.19,2483.07,4239.91,0,1,-0.002600000130923,ALLOW,"The transaction moves only about 2 % of the sender’s balance and, while it more than doubles the receiver’s balance, the amount isn’t unusually large and the anomaly score is only slightly negative, indicating no clear sign of fraud."
943,CASH_IN,494.13,1092.01,597.88,1230.9,1725.03,0,1,-0.0009215699371969,REVIEW,"The transaction moves almost half of the sender’s balance in a single cash‑in, which is unusually large and triggers a low anomaly score, so it needs further human investigation."
